"manu_name","manu_django_id","style_name","style_django_id","home_name","code","sqft","bedrooms","baths","stories","cost","estimatedCost","link","floorplans","info"
"Blu Homes","47","Modern","5","Breezehouse","bh001","3024","3","3","1","635000","635000","http://www.bluhomes.com/homes/breezehouse/#http://www.bluhomes.com/wp-content/uploads/br-p-CA-11-0029-ext-001-590x443.jpg","http://www.bluhomes.com/homes/breezehouse/floorplans/","Note that every Blu Homes price includes the estimated cost of setting up and finishing the home as well as the cost of manufacturing the home."
"Blu Homes","47","Modern","5","Sidebreeze","bh002","2602","3","3","2","665000","665000","http://www.bluhomes.com/homes/sidebreeze","http://www.bluhomes.com/homes/sidebreeze/floorplans/","Note that every Blu Homes price includes the estimated cost of setting up and finishing the home as well as the cost of manufacturing the home."
"Blu Homes","47","Modern","5","Origin","bh003","1944","2","1","1","155000","155000","http://www.bluhomes.com/homes/Origin","http://www.bluhomes.com/homes/Origin/floorplans/","Note that every Blu Homes price includes the estimated cost of setting up and finishing the home as well as the cost of manufacturing the home."
"Blu Homes","47","Modern","5","Glidehouse","bh004","2322","2","2","1","465000","465000","http://www.bluhomes.com/homes/glidehouse","http://www.bluhomes.com/homes/glidehouse/floorplans/","Note that every Blu Homes price includes the estimated cost of setting up and finishing the home as well as the cost of manufacturing the home."
"Blu Homes","47","Modern","5","Lofthouse","bh005","1920","3","3","2","446000","446000","http://www.bluhomes.com/homes/lofthouse","http://www.bluhomes.com/homes/lofthouse/floorplans/","Note that every Blu Homes price includes the estimated cost of setting up and finishing the home as well as the cost of manufacturing the home."
"Blu Homes","47","Modern","5","Balance","bh006","2160","3","2","1","465000","465000","http://www.bluhomes.com/homes/Balance","http://www.bluhomes.com/homes/Balance/floorplans/","Note that every Blu Homes price includes the estimated cost of setting up and finishing the home as well as the cost of manufacturing the home."
"Blu Homes","47","Modern","5","Element","bh008","1763","3","1.5","1","285000","285000","http://www.bluhomes.com/homes/Element","http://www.bluhomes.com/homes/Element/floorplans/","Note that every Blu Homes price includes the estimated cost of setting up and finishing the home as well as the cost of manufacturing the home."
"Champion Homes","49","Ranch","1","Champion 733T","ch002","2036","3","2","1","999999","999999","http://www.championhomes.com/floor-plans/DiveIn/MA/Great%20Barrington/Champion%20733T/8074?ZipCd=01230&RN=3&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M","http://www.championhomes.com/floor-plans/DiveIn/MA/Great%20Barrington/Champion%20733T/8074?ZipCd=01230&RN=3&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M",""
"Champion Homes","49","Ranch","1","The Madison 749","ch003","1493","3","2","1","999999","999999","http://www.championhomes.com/floor-plans/DiveIn/MA/Great%20Barrington/The%20Madison%20749/6765?ZipCd=01230&RN=4&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M","http://www.championhomes.com/floor-plans/DiveIn/MA/Great%20Barrington/The%20Madison%20749/6765?ZipCd=01230&RN=4&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M",""
"Champion Homes","49","Ranch","1","Champion 737","ch004","1493","3","2","1","999999","999999","http://www.championhomes.com/floor-plans/DiveIn/MA/Great%20Barrington/Champion%20737/6840?ZipCd=01230&RN=5&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M","http://www.championhomes.com/floor-plans/DiveIn/MA/Great%20Barrington/Champion%20737/6840?ZipCd=01230&RN=5&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M",""
"Champion Homes","49","Ranch","1","The Oneida","ch005","1440","3","2","1","999999","999999","http://www.championhomes.com/floor-plans/DiveIn/MA/Great%20Barrington/The%20Oneida%20728/8121?ZipCd=01230&RN=6&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M","http://www.championhomes.com/floor-plans/DiveIn/MA/Great%20Barrington/The%20Oneida%20728/8121?ZipCd=01230&RN=6&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M",""
"Champion Homes","49","Ranch","1","The St. Lawrence 753","ch006","1493","3","2","1","999999","999999","http://www.championhomes.com/floor-plans/DiveIn/MA/Great%20Barrington/The%20St.%20Lawrence%20753/8713?ZipCd=01230&RN=7&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M","http://www.championhomes.com/floor-plans/DiveIn/MA/Great%20Barrington/The%20St.%20Lawrence%20753/8713?ZipCd=01230&RN=7&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M",""
"Champion Homes","49","Ranch","1","The Jefferson 613","ch007","1280","3","2","1","999999","999999","http://www.championhomes.com/floor-plans/DiveIn/MA/Great%20Barrington/The%20Jefferson%20613/8714?ZipCd=01230&RN=8&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M","http://www.championhomes.com/floor-plans/DiveIn/MA/Great%20Barrington/The%20Jefferson%20613/8714?ZipCd=01230&RN=8&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M",""
"Champion Homes","49","Ranch","1","Redman B485","ch008","840","2","1","1","999999","999999","http://www.championhomes.com/floor-plans/DiveIn/MA/Great%20Barrington/Redman%20B485/7924?ZipCd=01230&RN=9&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M","http://www.championhomes.com/floor-plans/DiveIn/MA/Great%20Barrington/Redman%20B485/7924?ZipCd=01230&RN=9&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M",""
"Champion Homes","49","Ranch","1","Titan 768","ch009","2258","3","2.5","1","999999","999999","http://www.championhomes.com/floor-plans/MA/Great%20Barrington/Titan%20768/7304?ZipCd=01230&RN=10&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M","http://www.championhomes.com/floor-plans/MA/Great%20Barrington/Titan%20768/7304?ZipCd=01230&RN=10&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M",""
"Champion Homes","49","Two Story","5","Titan 658","ch010","2560","4","2.5","2","999999","999999","http://www.championhomes.com/floor-plans/MA/Great%20Barrington/Titan%20658/7342?ZipCd=&RN=11&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&CPT=M&HouseType=","http://www.championhomes.com/floor-plans/MA/Great%20Barrington/Titan%20658/7342?ZipCd=&RN=11&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&CPT=M&HouseType=",""
"Champion Homes","49","Ranch","1","Titan 720","ch011","1820","3","2","1","999999","999999","http://www.championhomes.com/floor-plans/MA/Great%20Barrington/Titan%20720/7306?ZipCd=01230&RN=11&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M","http://www.championhomes.com/floor-plans/MA/Great%20Barrington/Titan%20720/7306?ZipCd=01230&RN=11&Lot=0&SearchRadius=50&Beds=0&Baths=0&Area=&UK=0&SR=0&HD=0&FH=0&MO=1&HouseType=&CPT=M",""
